ID;Datum;Agent;Stad;Fordon;Ämne;Antal_Meddelanden
DEMO_1769612101690_15116;2026-01-09;Jessica;Linköping;AM;Avbokning av körlektion pga sjukdom;1
DEMO_1769612101691_49114;2026-01-03;angelholm;Jönköping;MC;Prisfråga MC-kort;1
DEMO_1769612101691_27916;2026-01-02;vasteras;Uppsala;BIL;Resa utomlands - pausa abonnemang?;1
DEMO_1769612101691_92154;2026-01-18;admin;Göteborg;BIL;Avbokning av körlektion pga sjukdom;1
DEMO_1769612101691_11141;2026-01-12;goteborg_vastra_frolunda;Göteborg;AM;När börjar nästa intensivkurs?;1
DEMO_1769612101691_38449;2026-01-04;goteborg_storaholm;Uppsala;MC;Avbokning av körlektion pga sjukdom;1
DEMO_1769612101691_30266;2026-01-06;helsingborg_halsobacken;Malmö;MC;Avbokning av körlektion pga sjukdom;1
DEMO_1769612101692_26092;2026-01-19;landskrona;Malmö;AM;Klagomål på trafiklärare;1
DEMO_1769612101692_14017;2025-12-29;malmo_city;Jönköping;BIL;Angående min utbildning;1
DEMO_1769612101692_19440;2026-01-07;stockholm_ostermalm;Linköping;BIL;Prisfråga MC-kort;1
DEMO_1769612101692_31974;2026-01-12;Patric;Jönköping;BIL;Boka halkbana privat;1
DEMO_1769612101692_78641;2026-01-09;ystad;Stockholm;AM;Hej!;1
DEMO_1769612101692_20202;2026-01-17;hassleholm;Helsingborg;AM;Problem med inloggning i appen;1
DEMO_1769612101692_90174;2026-01-07;Patric;Göteborg;AM;Resa utomlands - pausa abonnemang?;1
DEMO_1769612101692_85769;2026-01-21;uppsala;Västerås;AM;Byte av trafikskola;1
DEMO_1769612101693_41833;2025-12-31;kristianstad;Malmö;AM;Dubbelbokning i systemet?;1
DEMO_1769612101693_10529;2026-01-12;helsingborg_halsobacken;Norrköping;MC;Fråga om faktura #8822;1
DEMO_1769612101693_53097;2026-01-02;stockholm_sodermalm;Malmö;AM;Dubbelbokning i systemet?;1
DEMO_1769612101693_60495;2026-01-13;kungsbacka;Linköping;BIL;Intensivkurs boendefråga;1
DEMO_1769612101693_59917;2026-01-08;stockholm_djursholm;Norrköping;AM;Hej!;1
DEMO_1769612101693_1940;2026-01-03;kungsbacka;Uppsala;AM;Avbokning av körlektion pga sjukdom;1
DEMO_1769612101693_1407;2026-01-06;admin;Norrköping;AM;Problem med inloggning i appen;1
DEMO_1769612101693_31447;2026-01-14;goteborg_aby;Uppsala;AM;Klagomål på trafiklärare;1
DEMO_1769612101693_88064;2026-01-21;eslov;Jönköping;BIL;Fråga om faktura #8822;1
DEMO_1769612101693_42416;2026-01-03;stockholm_kungsholmen;Norrköping;MC;Resa utomlands - pausa abonnemang?;1
DEMO_1769612101693_9225;2026-01-10;varberg;Örebro;AM;Prisfråga MC-kort;1
DEMO_1769612101693_85000;2026-01-10;Nathalie;Örebro;AM;Boka halkbana privat;1
DEMO_1769612101693_52549;2026-01-20;goteborg_storaholm;Jönköping;AM;Fråga om faktura #8822;1
DEMO_1769612101694_52818;2026-01-12;kalmar;Linköping;BIL;Resa utomlands - pausa abonnemang?;1
DEMO_1769612101694_67831;2026-01-03;goteborg_hogsbo;Helsingborg;BIL;Dubbelbokning i systemet?;1
DEMO_1769612101694_24147;2026-01-04;stockholm_kungsholmen;Uppsala;MC;Klagomål på trafiklärare;1
DEMO_1769612101694_15316;2026-01-05;goteborg_storaholm;Norrköping;BIL;Prisfråga MC-kort;1
DEMO_1769612101694_14567;2026-01-15;malmo_limhamn;Jönköping;MC;Fråga om faktura #8822;1
DEMO_1769612101695_99750;2026-01-16;kungsbacka;Jönköping;AM;När börjar nästa intensivkurs?;1
DEMO_1769612101695_92938;2026-01-10;goteborg_vastra_frolunda;Västerås;AM;Hej!;1
DEMO_1769612101695_79481;2026-01-06;goteborg_aby;Uppsala;MC;När börjar nästa intensivkurs?;1
DEMO_1769612101695_83857;2026-01-17;malmo_bulltofta;Norrköping;MC;Resa utomlands - pausa abonnemang?;1
DEMO_1769612101695_3170;2026-01-04;umea;Göteborg;AM;När börjar nästa intensivkurs?;1
DEMO_1769612101695_54675;2026-01-13;goteborg_hovas;Västerås;AM;Byte av trafikskola;1
DEMO_1769612101695_49204;2026-01-19;stockholm_sodermalm;Malmö;AM;Angående min utbildning;1
DEMO_1769612101695_67898;2026-01-10;linkoping;Västerås;AM;Dubbelbokning i systemet?;1
DEMO_1769612101695_73163;2026-01-07;goteborg_storaholm;Örebro;AM;Återbetalning av saldo;1
DEMO_1769612101695_11030;2026-01-22;goteborg_molndal;Jönköping;MC;Byte av trafikskola;1
DEMO_1769612101695_81819;2026-01-07;Patric;Norrköping;MC;Fråga om faktura #8822;1
DEMO_1769612101695_28024;2026-01-08;Patric;Västerås;MC;När börjar nästa intensivkurs?;1
DEMO_1769612101696_28272;2026-01-12;malmo_triangeln;Uppsala;BIL;När börjar nästa intensivkurs?;1
DEMO_1769612101696_55041;2026-01-13;vellinge;Malmö;MC;Problem med inloggning i appen;1
DEMO_1769612101696_79369;2026-01-20;Patric;Göteborg;BIL;Angående min utbildning;1
DEMO_1769612101696_15363;2026-01-05;kalmar;Uppsala;AM;Handledarkursen igår;1
DEMO_1769612101696_59169;2026-01-11;goteborg_molnlycke;Uppsala;MC;Klagomål på trafiklärare;1
DEMO_1769612101696_49380;2026-01-09;landskrona;Stockholm;AM;Avbokning av körlektion pga sjukdom;1
DEMO_1769612101696_50301;2026-01-03;varberg;Göteborg;BIL;Dubbelbokning i systemet?;1
DEMO_1769612101696_69011;2026-01-02;kristianstad;Jönköping;AM;Fråga om faktura #8822;1
DEMO_1769612101696_67993;2026-01-09;helsingborg_city;Uppsala;BIL;Avbokning av körlektion pga sjukdom;1
DEMO_1769612101696_61220;2026-01-11;admin;Örebro;BIL;Problem med inloggning i appen;1
DEMO_1769612101696_65256;2026-01-20;goteborg_hovas;Stockholm;BIL;Boka halkbana privat;1
DEMO_1769612101696_47507;2026-01-14;stockholm_enskededalen;Jönköping;AM;Klagomål på trafiklärare;1
DEMO_1769612101697_26023;2026-01-11;ystad;Göteborg;BIL;Fråga om faktura #8822;1
DEMO_1769612101697_72942;2026-01-05;goteborg_vastra_frolunda;Stockholm;BIL;Avbokning av körlektion pga sjukdom;1
DEMO_1769612101697_76702;2025-12-30;angelholm;Stockholm;BIL;Fråga om faktura #8822;1
DEMO_1769612101697_47566;2026-01-09;goteborg_molndal;Helsingborg;BIL;Hej!;1
DEMO_1769612101697_11829;2026-01-16;gavle;Västerås;AM;Återbetalning av saldo;1
DEMO_1769612101697_35552;2026-01-09;hollviken;Västerås;MC;Återbetalning av saldo;1
